# commit: 34799ff13cba0c79c2ae4ec9dd484621e7465b07
# arch	numCUs	numChiplets	testVector	perfConfig (greedy)
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 256 -n 151936 -k 4096	v4:64,128,8,64,16,16,4,1,4,1,1,0,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 1 -n 1001 -k 2048	v4:32,16,4,16,16,16,8,4,2,1,1,64,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 1000 -n 1024 -k 1024	v4:32,64,8,32,16,16,4,1,4,0,1,4,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 1000 -n 1024 -k 1024	v4:128,32,8,32,32,16,8,1,4,0,2,16,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 1000 -n 1024 -k 12544	v4:128,128,8,32,64,32,8,4,2,0,1,16,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 1000 -n 405 -k 1024	v4:64,32,8,16,32,16,8,1,2,0,4,8,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 1000 -n 1024 -k 12544	v4:128,32,32,32,32,32,16,1,2,2,0,0,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 1000 -n 1024 -k 1024	v4:128,32,16,32,32,32,16,1,2,1,0,64,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 1000 -n 1024 -k 12544	v4:32,64,8,32,16,16,8,1,4,0,2,32,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 256 -n 6144 -k 4096	v4:32,96,8,16,48,16,16,1,2,2,0,0,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 256 -n 28672 -k 4096	v4:128,256,8,64,64,16,8,1,2,0,4,8,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 256 -n 4096 -k 14336	v4:128,128,8,32,64,16,16,4,2,0,4,32,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 64 -n 256 -k 1	v4:16,16,4,16,16,16,4,1,4,1,1,64,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 256 -n 128256 -k 4096	v4:256,128,8,64,64,16,8,1,2,1,4,32,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 1000 -n 405 -k 1024	v4:64,16,8,32,16,16,8,1,2,1,2,4,1,1
